date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2017-05-30,151.73,152.67,151.59,151.95,3609710,114.510065325658,115.219479821184,114.404407847601,114.676098505462,3775756,0.0,1.0
2017-05-31,152.63,152.8,151.65,152.03,3496466,115.18929197031,115.317590336522,114.449689623911,114.736474207209,3657303,0.0,1.0
2017-06-01,152.67,152.87,151.63,152.8,2904189,115.219479821184,115.370419075551,114.434595698474,115.317590336522,3037781,0.0,1.0
2017-06-02,152.05,153.2,151.8,153.07,3573193,114.751568132645,115.619468845257,114.562894064686,115.521358329918,3737559,0.0,1.0
2017-06-05,152.41,152.93,151.6826,151.82,3971157,115.023258790506,115.415700851861,114.474292722373,114.577987990123,4153830,0.0,1.0
2017-06-06,152.37,152.89,152.0,152.0,3786593,114.993070939633,115.385513000987,114.713833319053,114.713833319053,3960776,0.0,1.0
2017-06-07,150.98,154.2,150.8,153.05,4858631,113.944043121781,116.374165117092,113.80819779285,115.506264404481,5082128,0.0,1.0
2017-06-08,152.1,152.82,150.92,151.0,3681319,114.789302946237,115.332684261959,113.898761345471,113.959137047218,3850659,0.0,1.0
2017-06-09,154.1,154.265,151.88,152.0,4355401,116.298695489909,116.423220374762,114.623269766433,114.713833319053,4555749,0.0,1.0
2017-06-12,155.18,157.2,154.02,154.19,6461725,117.113767463492,118.6382539326,116.238319788162,116.366618154374,6758964,0.0,1.0
2017-06-13,154.25,155.48,154.15,155.44,3509558,116.411899930684,117.340176345042,116.336430303501,117.309988494169,3670997,0.0,1.0
2017-06-14,153.81,154.9399,152.94,153.97,3035864,116.079833571076,116.932564888624,115.423247814579,116.20058497457,3175513,0.0,1.0
2017-06-15,154.22,154.69,153.29,153.29,4626272,116.389259042529,116.743966290292,115.687391509722,115.687391509722,4839080,0.0,1.0
2017-06-16,155.38,155.42,152.9676,154.23,6128190,117.264706717859,117.294894568732,115.444077431682,116.396806005247,6410086,0.0,1.0
2017-06-19,154.84,155.86,154.54,155.51,4381436,116.857170731067,117.62696092834,116.630761849517,117.362817233197,4582982,0.0,1.0
2017-06-20,154.95,155.389,154.25,154.48,4469538,116.940187320969,117.271498984305,116.411899930684,116.585480073206,4675136,0.0,1.0
2017-06-21,153.79,155.79,153.39,155.79,3934281,116.06473964564,117.574132189311,115.762861136905,117.574132189311,4115257,0.0,1.0
2017-06-22,154.4,154.99,153.69,154.55,2361275,116.52510437146,116.970375171843,115.989270018456,116.638308812235,2469893,0.0,1.0
2017-06-23,154.11,154.68,153.8,154.34,3148468,116.306242452627,116.736419327574,116.072286608358,116.479822595149,3293297,0.0,1.0
2017-06-26,155.23,155.75,154.63,154.71,2129945,117.151502277083,117.543944338438,116.698684513982,116.759060215729,2227922,0.0,1.0
2017-06-27,154.75,155.34,154.5,155.0,2385619,116.789248066602,117.234518866985,116.600573998643,116.977922134561,2495357,0.0,1.0
2017-06-28,155.32,155.55,154.78,155.15,2203062,117.219424941549,117.393005084071,116.811888954757,117.091126575337,2304402,0.0,1.0
2017-06-29,154.13,155.74,153.62,155.35,3245649,116.321336378064,117.53639737572,115.936441279428,117.242065829704,3394948,0.0,1.0
2017-06-30,153.83,154.5,153.14,154.28,3501395,116.094927496513,116.600573998643,115.574187068946,116.434540818839,3662459,0.0,1.0
2017-07-03,155.58,156.025,153.52,153.58,2822499,117.415645972226,117.751485813193,115.860971652244,115.906253428554,2952333,0.0,1.0
2017-07-05,153.67,155.89,153.63,155.77,3558639,115.974176093019,117.649601816495,115.943988242146,117.559038263875,3722336,0.0,1.0
2017-07-06,152.36,153.83,152.23,153.36,2735717,114.985523976914,116.094927496513,114.887413461576,115.74022024875,2861559,0.0,1.0
2017-07-07,152.94,153.49,152.14,152.62,2345721,115.423247814579,115.838330764089,114.81949079711,115.181745007592,2453624,0.0,1.0
2017-07-10,153.42,153.89,152.63,152.91,2804780,115.78550202506,116.140209272823,115.18929197031,115.400606926424,2933799,0.0,1.0
2017-07-11,153.19,153.65,152.05,153.26,3431418,115.611921882538,115.959082167583,114.751568132645,115.664750621567,3589263,0.0,1.0
2017-07-12,153.7,154.24,153.05,153.48,3090315,115.996816981174,116.404352967966,115.506264404481,115.830783801371,3232469,0.0,1.0
2017-07-13,153.63,154.19,153.19,153.7,2474847,115.943988242146,116.366618154374,115.611921882538,115.996816981174,2588689,0.0,1.0
2017-07-14,154.24,154.615,153.4,154.01,3214337,116.404352967966,116.687364069904,115.770408099624,116.230772825444,3362196,0.0,1.0
2017-07-17,153.01,153.88,152.2399,153.59,4751141,115.476076553608,116.132662310105,114.894884954667,115.913800391273,4969693,0.0,1.0
2017-07-18,154.0,154.29,152.0,152.36,6867302,116.223225862725,116.442087781558,114.713833319053,114.985523976914,7183197,0.0,1.0
2017-07-19,147.53,150.25,146.71,150.02,14043000,111.340340983947,113.393114843341,110.721490041042,113.219534700818,14688978,0.0,1.0
2017-07-20,147.66,148.83,147.03,147.53,7105481,111.438451499286,112.321446137334,110.962992848029,111.340340983947,7432333,0.0,1.0
2017-07-21,147.08,147.87,146.51,147.59,6456514,111.000727661621,111.596937716371,110.570550786675,111.385622760257,6753513,0.0,1.0
