date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-11-20,8.35,10.5,8.35,10.5,17500,1.67066826730692,2.10084033613445,1.67066826730692,2.10084033613445,87465,0.0,1.0
2018-11-21,10.59,12.17,9.19,9.19,7800,2.11884753901561,2.43497398959584,1.83873549419768,1.83873549419768,38984,0.0,1.0
2018-11-23,9.8,11.0,9.7927,11.0,3019,1.96078431372549,2.20088035214086,1.9593237294918,2.20088035214086,15088,0.0,1.0
2018-11-26,8.38,9.7,7.76,9.7,5000,1.67667066826731,1.94077631052421,1.55262104841937,1.94077631052421,24990,0.0,1.0
2018-11-27,8.96,9.0,8.5,8.8,4400,1.79271708683473,1.80072028811525,1.70068027210884,1.76070428171269,21991,0.0,1.0
2018-11-28,8.97,9.35,8.97,9.34,2900,1.79471788715486,1.87074829931973,1.79471788715486,1.8687474989996,14494,0.0,1.0
2018-11-29,8.13,9.13,7.0,9.04,11500,1.62665066026411,1.82673069227691,1.40056022408964,1.80872348939576,57477,0.0,1.0
2018-11-30,7.85,7.85,7.8,7.8,3400,1.57062825130052,1.57062825130052,1.56062424969988,1.56062424969988,16993,0.0,1.0
2018-12-03,8.44,8.49,7.7,7.7,3400,1.68867547018808,1.69867947178872,1.5406162464986,1.5406162464986,16993,0.0,1.0
2018-12-04,8.1,8.43,7.59,8.43,600,1.62064825930372,1.68667466986795,1.51860744297719,1.68667466986795,2998,0.0,1.0
2018-12-06,8.12,8.25,6.61,6.61,18162,1.62464985994398,1.65066026410564,1.32252901160464,1.32252901160464,90773,0.0,1.0
2018-12-07,8.0,8.25,7.76,7.76,2400,1.60064025610244,1.65066026410564,1.55262104841937,1.55262104841937,11995,0.0,1.0
2018-12-10,6.99,8.0,6.99,7.99,2900,1.39855942376951,1.60064025610244,1.39855942376951,1.59863945578231,14494,0.0,1.0
2018-12-11,7.99,7.99,7.9,7.99,4300,1.59863945578231,1.59863945578231,1.58063225290116,1.59863945578231,21491,0.0,1.0
2018-12-12,8.1,8.1,8.0,8.0,1300,1.62064825930372,1.62064825930372,1.60064025610244,1.60064025610244,6497,0.0,1.0
2018-12-13,8.85,8.88,8.0,8.0,2700,1.77070828331333,1.77671068427371,1.60064025610244,1.60064025610244,13494,0.0,1.0
2018-12-14,8.0,8.65,8.0,8.56,14000,1.60064025610244,1.73069227691076,1.60064025610244,1.71268507402961,69972,0.0,1.0
2018-12-17,7.3767,8.8,7.3767,8.8,3002,1.47593037214886,1.76070428171269,1.47593037214886,1.76070428171269,15003,0.0,1.0
2018-12-18,8.35,8.49,6.78,7.3,12000,1.67066826730692,1.69867947178872,1.35654261704682,1.46058423369348,59976,0.0,1.0
2018-12-19,8.0,8.37,8.0,8.37,3308,1.60064025610244,1.67466986794718,1.60064025610244,1.67466986794718,16533,0.0,1.0
2018-12-20,7.82,8.37,7.82,8.0,5600,1.56462585034014,1.67466986794718,1.56462585034014,1.60064025610244,27988,0.0,1.0
2018-12-21,7.19,7.19,7.19,7.19,1000,1.43857543017207,1.43857543017207,1.43857543017207,1.43857543017207,4998,0.0,1.0
2018-12-24,7.3,8.1,7.3,8.1,700,1.46058423369348,1.62064825930372,1.46058423369348,1.62064825930372,3498,0.0,1.0
2018-12-26,7.3,7.3,7.3,7.3,100,1.46058423369348,1.46058423369348,1.46058423369348,1.46058423369348,499,0.0,1.0
2018-12-27,7.31,7.5,6.72,6.72,2600,1.46258503401361,1.50060024009604,1.34453781512605,1.34453781512605,12994,0.0,1.0
2018-12-28,6.7,6.77,5.63,6.7,3090,1.34053621448579,1.35454181672669,1.12645058023209,1.34053621448579,15443,0.0,1.0
2018-12-31,7.45,7.45,7.45,7.45,255,1.4905962384954,1.4905962384954,1.4905962384954,1.4905962384954,1274,0.0,1.0
2019-01-02,7.1,7.1,6.8,6.8,307,1.42056822729092,1.42056822729092,1.36054421768707,1.36054421768707,1534,0.0,1.0
2019-01-03,7.1,7.1,7.1,7.1,0,1.42056822729092,1.42056822729092,1.42056822729092,1.42056822729092,0,0.0,1.0
2019-01-04,7.0,7.02,7.0,7.02,1200,1.40056022408964,1.40456182472989,1.40056022408964,1.40456182472989,5997,0.0,1.0
2019-01-07,6.75,6.75,6.75,6.75,300,1.35054021608643,1.35054021608643,1.35054021608643,1.35054021608643,1499,0.0,1.0
2019-01-08,7.0,7.44,6.75,6.75,3700,1.40056022408964,1.48859543817527,1.35054021608643,1.35054021608643,18492,0.0,1.0
2019-01-09,6.99,6.99,6.99,6.99,800,1.39855942376951,1.39855942376951,1.39855942376951,1.39855942376951,3998,0.0,1.0
2019-01-10,6.99,6.99,6.99,6.99,0,1.39855942376951,1.39855942376951,1.39855942376951,1.39855942376951,0,0.0,1.0
2019-01-11,6.64,7.29,6.64,6.64,500,1.32853141256503,1.45858343337335,1.32853141256503,1.32853141256503,2499,0.0,1.0
2019-01-14,6.64,6.64,6.64,6.64,0,1.32853141256503,1.32853141256503,1.32853141256503,1.32853141256503,0,0.0,1.0
2019-01-15,6.64,6.64,6.64,6.64,192,1.32853141256503,1.32853141256503,1.32853141256503,1.32853141256503,959,0.0,1.0
2019-01-16,6.64,6.64,6.64,6.64,1,1.32853141256503,1.32853141256503,1.32853141256503,1.32853141256503,4,0.0,1.0
2019-01-17,6.53,7.23,6.53,7.23,500,1.30652260904362,1.44657863145258,1.30652260904362,1.44657863145258,2499,0.0,1.0
2019-01-18,6.95,6.95,6.95,6.95,200,1.390556222489,1.390556222489,1.390556222489,1.390556222489,999,0.0,1.0
2019-01-22,6.3253,6.3253,6.3253,6.3253,103,1.2655662264906,1.2655662264906,1.2655662264906,1.2655662264906,514,0.0,1.0
2019-01-23,5.56,6.35,5.16,6.35,2500,1.1124449779912,1.27050820328131,1.03241296518607,1.27050820328131,12495,0.0,1.0
2019-01-24,5.94,5.94,5.94,5.94,200,1.18847539015606,1.18847539015606,1.18847539015606,1.18847539015606,999,0.0,1.0
2019-01-25,6.75,6.97,6.5,6.5,9600,1.35054021608643,1.39455782312925,1.30052020808323,1.30052020808323,47980,0.0,1.0
